date,3304557_cases,3301702_cases,3303500_cases,3305109_cases,3303302_cases,3304904_cases,3300456_cases,3303203_cases,3302858_cases,3304144_cases,3302502_cases,Mobility
2020-03-06,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-03-07,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9
2020-03-08,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
2020-03-09,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6
2020-03-10,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
2020-03-11,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7
2020-03-12,9.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9
2020-03-13,15.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-14.4
2020-03-14,19.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-20.9
2020-03-15,26.3,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,-26.7
2020-03-16,30.9,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,-32.0
2020-03-17,34.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.4
2020-03-18,40.8,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-41.1
2020-03-19,43.4,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-43.2
2020-03-20,46.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-44.3
2020-03-21,49.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.1
2020-03-22,48.7,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,-47.4
2020-03-23,52.9,0.0,0.0,0.0,5.2,1.1,0.0,0.0,0.0,0.0,0.0,-48.6
2020-03-24,58.6,0.9,0.0,0.0,5.3,0.8,0.0,0.0,0.0,0.0,0.0,-48.9
2020-03-25,59.1,0.8,0.0,0.0,5.3,0.8,0.0,0.0,0.0,0.0,0.0,-48.1
2020-03-26,65.1,1.1,0.0,0.0,6.0,0.8,0.7,0.0,0.0,0.0,0.0,-46.4
2020-03-27,70.0,1.8,0.0,0.0,5.6,1.1,1.4,0.0,0.0,0.0,0.0,-44.5
2020-03-28,67.9,1.8,2.9,0.0,5.6,1.0,1.4,0.0,0.0,0.0,0.0,-43.9
2020-03-29,76.2,3.0,3.7,0.0,5.7,1.9,1.9,0.0,0.0,0.0,0.0,-44.5
2020-03-30,93.3,3.3,4.7,1.7,6.7,2.1,2.2,0.0,0.0,0.5,0.0,-45.7
2020-03-31,108.0,4.3,5.0,2.2,7.0,2.5,2.7,0.0,0.0,0.6,0.0,-45.7
2020-04-01,122.2,5.7,6.1,2.4,6.0,2.7,2.7,0.0,0.0,0.7,0.0,-47.6
